lon,lat,RH 2 m above ground d=2021051200 anl
353.000000,39.750000,69.4
353.250000,39.750000,72.3
353.500000,39.750000,72.1
353.750000,39.750000,71.9
354.000000,39.750000,72
350.250000,40.000000,86.5
350.500000,40.000000,84.4
350.750000,40.000000,83.9
351.000000,40.000000,86
351.250000,40.000000,93.1
351.500000,40.000000,93
351.750000,40.000000,96.1
352.000000,40.000000,95.5
352.250000,40.000000,90.4
352.500000,40.000000,83
352.750000,40.000000,76.6
353.000000,40.000000,75.9
353.250000,40.000000,73.6
353.500000,40.000000,71.7
353.750000,40.000000,71.4
354.000000,40.000000,71
350.250000,40.250000,87.5
350.500000,40.250000,85.9
350.750000,40.250000,85.3
351.000000,40.250000,86.4
351.250000,40.250000,92.9
351.500000,40.250000,93.9
351.750000,40.250000,92.8
352.000000,40.250000,94.3
352.250000,40.250000,96.2
352.500000,40.250000,92.7
352.750000,40.250000,85.8
353.000000,40.250000,89.7
353.250000,40.250000,90
353.500000,40.250000,85.4
353.750000,40.250000,80.9
354.000000,40.250000,82.8
350.250000,40.500000,90.9
350.500000,40.500000,87.7
350.750000,40.500000,86.6
351.000000,40.500000,86.8
351.250000,40.500000,91.7
351.500000,40.500000,95.9
351.750000,40.500000,96.7
352.000000,40.500000,93.5
352.250000,40.500000,89.3
352.500000,40.500000,90.1
352.750000,40.500000,89.6
353.000000,40.500000,86.7
353.250000,40.500000,82.4
353.500000,40.500000,82.7
353.750000,40.500000,90.3
354.000000,40.500000,87.4
350.250000,40.750000,86.4
350.500000,40.750000,87.2
350.750000,40.750000,88.1
351.000000,40.750000,87.5
351.250000,40.750000,89.5
351.500000,40.750000,97.5
351.750000,40.750000,99
352.000000,40.750000,98.4
352.250000,40.750000,98
352.500000,40.750000,95.2
352.750000,40.750000,85.2
353.000000,40.750000,80.2
353.250000,40.750000,83.2
353.500000,40.750000,85.1
353.750000,40.750000,87.1
354.000000,40.750000,87.8
350.250000,41.000000,81.8
350.500000,41.000000,84.4
350.750000,41.000000,88
351.000000,41.000000,88.5
351.250000,41.000000,89.5
351.500000,41.000000,97
351.750000,41.000000,96.4
352.000000,41.000000,98.1
352.250000,41.000000,96.2
352.500000,41.000000,94.7
352.750000,41.000000,86.2
353.000000,41.000000,74.7
353.250000,41.000000,83.2
353.500000,41.000000,88.5
353.750000,41.000000,88.4
354.000000,41.000000,89
350.250000,41.250000,81.9
350.500000,41.250000,82
350.750000,41.250000,83.3
351.000000,41.250000,86.9
351.250000,41.250000,90.3
351.500000,41.250000,97.5
351.750000,41.250000,97.4
352.000000,41.250000,96.1
352.250000,41.250000,93.9
352.500000,41.250000,91.7
352.750000,41.250000,85.5
353.000000,41.250000,80.8
353.250000,41.250000,80.7
353.500000,41.250000,82.1
353.750000,41.250000,87.2
354.000000,41.250000,90.4
350.250000,41.500000,81.2
350.500000,41.500000,83
350.750000,41.500000,86.2
351.000000,41.500000,88
351.250000,41.500000,95.1
351.500000,41.500000,98.4
351.750000,41.500000,98.5
352.000000,41.500000,98.7
352.250000,41.500000,98.4
352.500000,41.500000,96.5
352.750000,41.500000,86.7
353.000000,41.500000,85.5
353.250000,41.500000,83.8
353.500000,41.500000,81.1
353.750000,41.500000,83.6
354.000000,41.500000,84.7
350.250000,41.750000,81.8
350.500000,41.750000,81.7
350.750000,41.750000,85.7
351.000000,41.750000,86.5
351.250000,41.750000,92.8
351.500000,41.750000,96.9
